"VISION_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","ƒ´∏ﬁ∂Û ¡æ«’ ∞·∞˙","¿Œº≠∆Æ NG »Æ¿Œ","∞®«’∫Œ ∞·∞˙","ƒ≥∫Ò∆º ∞·∞˙","¡¢√À∫Œ ∞∏_01","¡¢√À∫Œ ∞∏_02","¡¢√À∫Œ ∞∏_03","¡¢√À∫Œ ∞∏_04","¡¢√À∫Œ ∞∏_05","¡¢√À∫Œ ∞∏_06","¡¢√À∫Œ ∞∏_07","¡¢√À∫Œ ∞∏_08","¡¢√À∫Œ ∞∏_09","¡¢√À∫Œ ∞∏_10","¡¢√À∫Œ ∞∏_11","¡¢√À∫Œ ∞∏_12","¡¢√À∫Œ ∞∏_13","¡¢√À∫Œ ∞∏_14","¡¢√À∫Œ ∞∏_15","¡¢√À∫Œ ∞∏_16","¡¢√À∫Œ ∞∏_17","¡¢√À∫Œ ∞∏_18","¡¢√À∫Œ ∞∏_19","¡¢√À∫Œ ∞∏_20","¡¢√À∫Œ ∞∏_21","¡¢√À∫Œ ∞∏_22","¡¢√À∫Œ ∞∏_23","¡¢√À∫Œ ∞∏_24","¡¢√À∫Œ ∞∏_25","¡¢√À∫Œ ∞∏_26","¡¢√À∫Œ ∞∏_27","¡¢√À∫Œ ∞∏_28","¡¢√À∫Œ ∞∏_29","¡¢√À∫Œ ∞∏_30","¡¢√À∫Œ ∞∏_31","¡¢√À∫Œ ∞∏_32","¡¢√À∫Œ ∞∏_33","¡¢√À∫Œ ∞∏_34","¡¢√À∫Œ ∞∏_35","¡¢√À∫Œ ∞∏_36","¡¢√À∫Œ ∞∏_37","¡¢√À∫Œ ∞∏_38","¡¢√À∫Œ ∞∏_39","¡¢√À∫Œ ∞∏_40","¡¢√À∫Œ ∞∏_41","¡¢√À∫Œ ∞∏_42","¡¢√À∫Œ ∞∏_43","¡¢√À∫Œ ∞∏_44","¡¢√À∫Œ ∞∏_45","¡¢√À∫Œ ∞∏_46","¡¢√À∫Œ ∞∏_47","¡¢√À∫Œ ∞∏_48","¡¢√À∫Œ ∞∏_49","¡¢√À∫Œ ∞∏_50","¡¢√À∫Œ ∞∏_51","¡¢√À∫Œ ∞∏_52","¡¢√À∫Œ ∞∏_53","¡¢√À∫Œ ∞∏_54","¡¢√À∫Œ ∞∏_55","¡¢√À∫Œ ∞∏_56","¡¢√À∫Œ ∞∏_57","¡¢√À∫Œ ∞∏_58","¡¢√À∫Œ ∞∏_59","¡¢√À∫Œ ∞∏_60","¡¢√À∫Œ ∞∏_61","¡¢√À∫Œ ∞∏_62","¡¢√À∫Œ ∞∏_63","¡¢√À∫Œ ∞∏_64","¡¢√À∫Œ ∞∏_65","¡¢√À∫Œ ∞∏_66","¡¢√À∫Œ ∞∏_67","¡¢√À∫Œ ∞∏_68","¡¢√À∫Œ ∞∏_69","¡¢√À∫Œ ∞∏_70","¡¢√À∫Œ ∞∏_71","¡¢√À∫Œ ∞∏_72","¡¢√À∫Œ ∞∏_73","¡¢√À∫Œ ∞∏_74","¡¢√À∫Œ ∞∏_75","¡¢√À∫Œ ∞∏_76","¡¢√À∫Œ ∞∏_77","¡¢√À∫Œ ∞∏_78","≥ªø‹√¯ ∞®«’∫Œ_01","≥ªø‹√¯ ∞®«’∫Œ_02","≥ªø‹√¯ ∞®«’∫Œ_03","≥ªø‹√¯ ∞®«’∫Œ_04","≥ªø‹√¯ ∞®«’∫Œ_05","≥ªø‹√¯ ∞®«’∫Œ_06","≥ªø‹√¯ ∞®«’∫Œ_07","≥ªø‹√¯ ∞®«’∫Œ_08","≥ªø‹√¯ ∞®«’∫Œ_09","≥ªø‹√¯ ∞®«’∫Œ_10","≥ªø‹√¯ ∞®«’∫Œ_11","≥ªø‹√¯ ∞®«’∫Œ_12","≥ªø‹√¯ ∞®«’∫Œ_13","≥ªø‹√¯ ∞®«’∫Œ_14","≥ªø‹√¯ ∞®«’∫Œ_15","≥ªø‹√¯ ∞®«’∫Œ_16","≥ªø‹√¯ ∞®«’∫Œ_17","≥ªø‹√¯ ∞®«’∫Œ_18","≥ªø‹√¯ ∞®«’∫Œ_19","≥ªø‹√¯ ∞®«’∫Œ_20","≥ªø‹√¯ ∞®«’∫Œ_21","≥ªø‹√¯ ∞®«’∫Œ_22","≥ªø‹√¯ ∞®«’∫Œ_23","≥ªø‹√¯ ∞®«’∫Œ_24","≥ªø‹√¯ ∞®«’∫Œ_25","≥ªø‹√¯ ∞®«’∫Œ_26","≥ªø‹√¯ ∞®«’∫Œ_27","≥ªø‹√¯ ∞®«’∫Œ_28","≥ªø‹√¯ ∞®«’∫Œ_29","≥ªø‹√¯ ∞®«’∫Œ_30","≥ªø‹√¯ ∞®«’∫Œ_31","≥ªø‹√¯ ∞®«’∫Œ_32","≥ªø‹√¯ ∞®«’∫Œ_33","≥ªø‹√¯ ∞®«’∫Œ_34","≥ªø‹√¯ ∞®«’∫Œ_35","≥ªø‹√¯ ∞®«’∫Œ_36","≥ªø‹√¯ ∞®«’∫Œ_37","≥ªø‹√¯ ∞®«’∫Œ_38","≥ªø‹√¯ ∞®«’∫Œ_39","≥ªø‹√¯ ∞®«’∫Œ_40","≥ªø‹√¯ ∞®«’∫Œ_41","≥ªø‹√¯ ∞®«’∫Œ_42","≥ªø‹√¯ ∞®«’∫Œ_43","≥ªø‹√¯ ∞®«’∫Œ_44","≥ªø‹√¯ ∞®«’∫Œ_45","≥ªø‹√¯ ∞®«’∫Œ_46","≥ªø‹√¯ ∞®«’∫Œ_47","≥ªø‹√¯ ∞®«’∫Œ_48","≥ªø‹√¯ ∞®«’∫Œ_49","≥ªø‹√¯ ∞®«’∫Œ_50","≥ªø‹√¯ ∞®«’∫Œ_51","≥ªø‹√¯ ∞®«’∫Œ_52","≥ªø‹√¯ ∞®«’∫Œ_53","≥ªø‹√¯ ∞®«’∫Œ_54","≥ªø‹√¯ ∞®«’∫Œ_55","≥ªø‹√¯ ∞®«’∫Œ_56","≥ªø‹√¯ ∞®«’∫Œ_57","≥ªø‹√¯ ∞®«’∫Œ_58","≥ªø‹√¯ ∞®«’∫Œ_59","≥ªø‹√¯ ∞®«’∫Œ_60","≥ªø‹√¯ ∞®«’∫Œ_61","≥ªø‹√¯ ∞®«’∫Œ_62","≥ªø‹√¯ ∞®«’∫Œ_63","≥ªø‹√¯ ∞®«’∫Œ_64","≥ªø‹√¯ ∞®«’∫Œ_65","≥ªø‹√¯ ∞®«’∫Œ_66","≥ªø‹√¯ ∞®«’∫Œ_67","≥ªø‹√¯ ∞®«’∫Œ_68","≥ªø‹√¯ ∞®«’∫Œ_69","≥ªø‹√¯ ∞®«’∫Œ_70","≥ªø‹√¯ ∞®«’∫Œ_71","≥ªø‹√¯ ∞®«’∫Œ_72","≥ªø‹√¯ ∞®«’∫Œ_73","≥ªø‹√¯ ∞®«’∫Œ_74","≥ªø‹√¯ ∞®«’∫Œ_75","≥ªø‹√¯ ∞®«’∫Œ_76","≥ªø‹√¯ ∞®«’∫Œ_77","≥ªø‹√¯ ∞®«’∫Œ_78","»¶µÂ¥ŸøÓ ∞∏_01","»¶µÂ¥ŸøÓ ∞∏_02","DM60324","DM60326","DM60328","DM60330","DM60332","DM60334","DM60336","DM60338","DM60340","DM60342","DM60344","DM60346","DM60348","DM60350","DM60352","DM60354","DM60356","DM60358","DM60360","DM60362"
0,2022/07/23,09:41:29,"C227230020      ","N227226025      ",1,1,1,250,251,250,250,249,250,258,258,258,256,257,257,249,250,249,249,249,250,257,256,258,256,257,256,248,249,248,248,249,251,249,250,245,246,243,243,239,241,238,265,263,264,252,252,254,252,251,251,259,261,260,261,259,261,251,250,250,250,249,250,257,259,258,260,259,260,249,251,250,249,250,250,258,258,257,261,259,259,1140,1139,1138,1136,1136,1133,1133,1133,1129,1129,1129,1129,1126,1127,1127,1125,1125,1123,1125,1123,1122,1123,1123,1123,1122,1123,1124,1122,1123,1122,1125,1126,1126,1128,1129,1130,1130,1133,1135,656,656,655,662,666,664,665,665,662,654,652,654,652,654,649,660,660,659,658,657,657,649,648,648,647,648,647,656,654,655,656,655,655,648,649,651,649,654,658,1002,1001,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
1,2022/07/23,09:41:30,"C227230020      ","N227226025      ",1,1,1,259,257,258,257,259,256,250,250,248,250,249,250,258,257,258,257,258,257,250,251,249,251,249,251,258,257,256,257,252,253,247,249,245,246,242,243,239,242,237,250,253,251,262,262,261,264,260,262,250,249,251,249,250,248,258,260,259,261,259,259,251,250,251,250,249,250,258,260,259,261,260,259,252,250,250,248,251,250,1140,1138,1136,1138,1137,1136,1135,1133,1133,1132,1132,1131,1133,1132,1130,1132,1132,1131,1131,1132,1131,1130,1130,1128,1130,1130,1129,1131,1132,1132,1130,1131,1132,1132,1134,1132,1133,1134,1137,666,664,663,654,659,660,657,660,658,667,668,667,669,666,666,658,656,657,653,657,654,663,664,662,663,663,663,655,653,655,650,654,651,660,664,662,663,662,663,993,1001,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
2,2022/07/23,09:41:30,"C227230020      ","N227226025      ",1,1,1,251,251,251,250,250,251,258,257,259,258,258,257,249,249,249,249,249,249,257,256,258,258,257,257,250,250,250,251,250,252,253,254,251,251,248,248,244,244,242,262,259,261,250,249,251,248,248,247,255,256,255,257,256,257,247,246,245,245,246,245,256,257,257,260,258,258,248,247,248,247,248,249,257,258,258,260,258,258,1139,1137,1135,1134,1133,1131,1133,1131,1130,1130,1131,1131,1129,1130,1129,1128,1129,1128,1130,1129,1129,1130,1131,1130,1128,1129,1129,1129,1129,1129,1131,1131,1132,1132,1134,1135,1135,1136,1136,656,658,652,664,668,665,669,667,666,658,659,659,657,659,653,665,665,666,666,665,665,655,655,653,651,653,651,660,661,660,661,660,660,651,651,652,656,658,659,990,992,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
3,2022/07/23,09:41:30,"C227230020      ","N227226025      ",1,1,1,258,258,259,257,257,257,250,250,249,250,249,250,257,256,259,257,257,256,249,250,250,250,248,250,258,257,254,255,250,250,245,247,244,244,241,243,240,241,238,249,249,248,257,260,258,260,258,259,248,247,247,249,245,246,255,255,254,256,255,256,245,246,247,248,246,245,256,258,256,259,257,258,249,248,249,248,247,246,1138,1136,1134,1133,1134,1134,1132,1132,1132,1130,1131,1129,1130,1128,1127,1129,1129,1130,1127,1129,1129,1127,1129,1127,1129,1128,1127,1128,1129,1128,1127,1129,1129,1129,1131,1131,1133,1133,1135,668,666,665,657,660,662,659,662,661,670,671,669,668,669,668,660,661,662,659,662,659,668,668,666,665,667,666,656,655,656,651,656,653,663,664,663,663,664,666,978,996,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
4,2022/07/23,09:41:31,"C227230020      ","N227226025      ",1,1,1,252,251,250,252,250,251,259,258,259,258,258,258,250,250,249,250,250,250,257,257,258,257,257,257,249,250,249,251,250,251,250,251,247,248,244,244,240,242,239,263,261,262,252,250,251,252,250,250,258,259,257,259,258,259,250,247,248,249,247,248,257,256,257,259,257,258,248,247,247,247,247,248,257,258,256,260,257,258,1142,1141,1140,1138,1137,1135,1137,1136,1133,1135,1135,1134,1132,1133,1133,1131,1132,1129,1130,1129,1129,1130,1130,1130,1129,1130,1130,1130,1130,1127,1130,1130,1130,1133,1133,1134,1135,1136,1138,658,661,656,667,671,670,669,669,668,660,661,661,659,660,659,666,668,666,665,665,665,657,657,656,654,656,654,663,663,663,662,662,662,654,654,655,653,660,659,1001,998,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
5,2022/07/23,09:41:31,"C227230020      ","N227226025      ",1,1,1,258,256,257,256,256,256,248,248,248,249,248,249,256,256,257,256,257,256,249,250,249,249,248,250,257,257,257,257,254,254,249,250,246,247,243,244,240,241,237,250,250,250,256,256,256,259,255,259,245,247,246,245,246,245,255,256,255,257,255,257,246,244,248,247,245,247,255,256,255,258,255,257,247,246,248,246,248,246,1143,1140,1139,1139,1139,1139,1138,1138,1138,1136,1136,1135,1136,1135,1134,1135,1135,1136,1133,1134,1135,1134,1133,1132,1134,1133,1132,1135,1134,1135,1134,1134,1134,1135,1134,1134,1136,1137,1137,669,667,666,659,665,664,663,665,663,673,672,672,673,670,670,662,662,663,662,664,661,669,670,667,667,667,666,659,659,659,657,659,658,666,669,667,667,665,665,996,1002,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
6,2022/07/23,09:41:31,"C227230020      ","N227226025      ",0,1,1,251,251,250,250,250,251,257,257,257,256,257,256,249,249,251,251,248,249,257,255,257,256,257,257,251,250,250,251,250,251,255,255,252,253,249,249,244,245,242,263,261,262,253,251,251,252,253,251,257,258,256,259,257,258,247,247,248,246,247,247,254,255,255,258,255,259,247,245,248,248,247,248,256,256,256,258,257,258,1140,1139,1137,1136,1136,1133,1136,1133,1132,1134,1134,1134,1132,1134,1133,1132,1132,1131,1133,1131,1132,1134,1134,1134,1133,1132,1134,1133,1132,1133,1135,1134,1134,1137,1137,1137,1138,1139,1139,657,659,657,663,668,666,666,664,665,659,658,659,657,660,657,665,666,665,666,665,664,657,657,657,654,656,655,662,667,664,661,661,661,654,655,655,660,663,664,995,999,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
7,2022/07/23,09:41:32,"C227230020      ","N227226025      ",1,1,1,257,257,257,257,256,256,250,249,248,248,249,249,256,256,257,256,255,256,248,248,248,249,248,249,257,256,255,255,251,251,247,248,245,245,242,243,240,242,239,252,253,252,260,262,261,263,261,262,251,250,251,251,252,252,259,262,260,261,261,261,253,250,252,252,252,253,259,260,260,263,260,261,252,251,253,252,256,252,1139,1136,1135,1134,1134,1133,1132,1133,1132,1131,1131,1129,1131,1130,1128,1130,1130,1130,1129,1129,1130,1129,1129,1128,1130,1129,1128,1129,1129,1130,1130,1131,1131,1131,1132,1133,1134,1137,1135,665,664,663,655,660,659,657,660,656,668,668,665,666,665,665,657,655,656,655,656,653,662,665,662,662,662,660,654,653,654,651,654,650,661,661,662,660,659,661,977,984,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
8,2022/07/23,09:41:32,"C227230020      ","N227226025      ",1,1,1,252,251,251,250,251,251,257,257,258,258,258,257,250,250,249,250,253,249,255,256,258,257,257,257,249,250,250,250,249,250,251,251,247,248,244,245,241,243,240,263,262,262,252,251,253,250,252,251,256,258,256,258,256,258,250,248,249,249,246,247,256,259,257,260,258,259,250,248,250,249,249,251,256,257,258,260,259,259,1141,1142,1139,1138,1138,1136,1137,1136,1133,1134,1134,1134,1132,1133,1132,1131,1131,1130,1131,1130,1128,1130,1130,1130,1130,1130,1132,1130,1130,1130,1131,1132,1131,1132,1133,1134,1135,1137,1138,659,660,658,666,671,669,670,669,668,661,661,662,660,661,660,665,667,665,666,665,664,657,656,656,654,656,655,661,662,661,661,661,660,654,655,655,655,660,661,1002,996,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
9,2022/07/23,09:41:32,"C227230020      ","N227226025      ",1,1,1,259,258,259,258,259,257,251,250,249,249,251,253,257,257,258,257,257,257,251,250,249,249,249,250,257,256,257,256,254,254,249,249,246,247,243,244,241,242,238,253,252,255,259,260,258,262,259,261,252,251,249,250,250,249,255,259,255,258,257,258,247,247,247,248,249,248,254,255,255,258,255,257,246,246,247,246,247,248,1142,1140,1139,1139,1139,1138,1137,1137,1136,1134,1136,1132,1135,1134,1133,1134,1134,1133,1133,1133,1134,1132,1132,1131,1132,1132,1131,1132,1133,1133,1132,1132,1134,1134,1134,1133,1135,1136,1136,664,665,661,657,661,661,660,662,658,668,668,667,668,667,666,661,659,661,660,661,660,667,667,667,666,665,664,658,658,658,656,658,657,665,666,666,665,664,664,1003,1002,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
