"VISION2_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","카메라 종합 결과","평탄도 결과","VISION2_DATA_01","VISION2_DATA_02","VISION2_DATA_03","VISION2_DATA_04","VISION2_DATA_05","VISION2_DATA_06","VISION2_DATA_07","VISION2_DATA_08","VISION2_DATA_09","VISION2_DATA_10","VISION2_DATA_11","VISION2_DATA_12","VISION2_DATA_13","VISION2_DATA_14","VISION2_DATA_15","VISION2_DATA_16","VISION2_DATA_17","VISION2_DATA_18","VISION2_DATA_19","VISION2_DATA_20","VISION2_DATA_21","VISION2_DATA_22","VISION2_DATA_23","VISION2_DATA_24","VISION2_DATA_25","VISION2_DATA_26","VISION2_DATA_27","VISION2_DATA_28","VISION2_DATA_29","VISION2_DATA_30","VISION2_DATA_31","VISION2_DATA_32","VISION2_DATA_33","VISION2_DATA_34","VISION2_DATA_35","VISION2_DATA_36","VISION2_DATA_37","VISION2_DATA_38","VISION2_DATA_39","VISION2_DATA_40","VISION2_DATA_41","VISION2_DATA_42","VISION2_DATA_43","VISION2_DATA_44","VISION2_DATA_45","VISION2_DATA_46","VISION2_DATA_47","VISION2_DATA_48","VISION2_DATA_49","VISION2_DATA_50","VISION2_DATA_51","VISION2_DATA_52","VISION2_DATA_53","VISION2_DATA_54","VISION2_DATA_55","VISION2_DATA_56","VISION2_DATA_57","VISION2_DATA_58","VISION2_DATA_59","VISION2_DATA_60","VISION2_DATA_61","VISION2_DATA_62","VISION2_DATA_63","VISION2_DATA_64","VISION2_DATA_65","VISION2_DATA_66","VISION2_DATA_67","VISION2_DATA_68","VISION2_DATA_69","VISION2_DATA_70","VISION2_DATA_71","VISION2_DATA_72","VISION2_DATA_73","VISION2_DATA_74","VISION2_DATA_75","VISION2_DATA_76","VISION2_DATA_77","VISION2_DATA_78","VISION2_DATA_79","VISION2_DATA_80","VISION2_DATA_81","VISION2_DATA_82","VISION2_DATA_83","VISION2_DATA_84","VISION2_DATA_85","VISION2_DATA_86","VISION2_DATA_87","VISION2_DATA_88","VISION2_DATA_89","VISION2_DATA_90","VISION2_DATA_91","VISION2_DATA_92","VISION2_DATA_93","VISION2_DATA_94","VISION2_DATA_95","VISION2_DATA_96","VISION2_DATA_97","VISION2_DATA_98","VISION2_DATA_99","VISION2_DATA_100","VISION2_DATA_101","VISION2_DATA_102","VISION2_DATA_103","VISION2_DATA_104","VISION2_DATA_105","VISION2_DATA_106","VISION2_DATA_107","VISION2_DATA_108","VISION2_DATA_109","VISION2_DATA_110","VISION2_DATA_111","VISION2_DATA_112","VISION2_DATA_113","VISION2_DATA_114","VISION2_DATA_115","VISION2_DATA_116","VISION2_DATA_117","VISION2_DATA_118","VISION2_DATA_119","VISION2_DATA_120","VISION2_DATA_121","VISION2_DATA_122","VISION2_DATA_123","VISION2_DATA_124","VISION2_DATA_125","VISION2_DATA_126","VISION2_DATA_127","VISION2_DATA_128","VISION2_DATA_129","VISION2_DATA_130","VISION2_DATA_131","VISION2_DATA_132","VISION2_DATA_133","VISION2_DATA_134","VISION2_DATA_135","VISION2_DATA_136","VISION2_DATA_137","VISION2_DATA_138","VISION2_DATA_139","VISION2_DATA_140","VISION2_DATA_141","VISION2_DATA_142","VISION2_DATA_143","VISION2_DATA_144","VISION2_DATA_145","VISION2_DATA_146","VISION2_DATA_147","VISION2_DATA_148","VISION2_DATA_149","VISION2_DATA_150","VISION2_DATA_151","VISION2_DATA_152","VISION2_DATA_153","VISION2_DATA_154","VISION2_DATA_155","VISION2_DATA_156","VISION2_DATA_157","VISION2_DATA_158","VISION2_DATA_159","VISION2_DATA_160","VISION2_DATA_161","VISION2_DATA_162","VISION2_DATA_163","VISION2_DATA_164","VISION2_DATA_165","VISION2_DATA_166","VISION2_DATA_167","VISION2_DATA_168","VISION2_DATA_169","VISION2_DATA_170","VISION2_DATA_171","VISION2_DATA_172","VISION2_DATA_173","VISION2_DATA_174","VISION2_DATA_175","VISION2_DATA_176","VISION2_DATA_177","VISION2_DATA_178","VISION2_DATA_179","VISION2_DATA_180","VISION2_DATA_181","VISION2_DATA_182"
0,2022/07/24,13:55:30,"C227220027      ","N227216007      ",1,1,6,8,10,14,14,15,14,15,17,16,18,17,17,18,17,17,16,15,17,14,14,14,16,16,15,15,10,12,13,12,10,9,7,5,7,7,1,-1,1,18,3,24,24,26,27,28,29,29,31,31,32,31,32,31,31,30,30,30,32,30,30,27,28,28,28,29,27,28,25,25,27,26,24,23,23,21,20,20,17,17,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022/07/24,13:55:32,"C227220027      ","N227216007      ",1,1,4,2,4,6,10,13,10,12,13,13,16,15,17,15,16,16,14,16,18,16,14,15,16,18,16,17,13,15,16,17,15,12,13,10,9,12,5,4,7,15,7,20,20,23,23,24,26,24,25,27,27,26,25,27,26,27,27,27,26,28,28,26,27,28,28,29,27,26,26,28,28,27,25,26,25,23,21,20,17,14,9,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022/07/24,13:55:36,"C227220027      ","N227216007      ",1,1,6,7,8,11,11,14,13,14,14,14,15,15,16,15,16,15,15,14,16,14,12,13,14,14,12,12,8,9,9,10,9,7,6,3,4,5,0,-3,1,17,1,23,23,23,24,26,27,27,26,27,27,27,26,27,28,26,25,26,26,27,25,24,26,25,27,26,24,25,22,24,26,27,23,25,24,23,18,16,15,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022/07/24,13:55:36,"C227220027      ","N227216007      ",1,1,0,2,4,5,7,8,8,8,10,10,12,11,12,10,10,11,10,11,12,10,8,9,9,10,9,9,7,6,8,7,7,6,4,-1,1,3,-5,-8,-4,11,-4,28,29,30,34,34,37,34,36,38,40,38,37,38,36,36,37,39,39,41,39,39,40,39,40,41,36,36,35,34,37,38,35,33,34,31,28,29,28,24,15,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/07/24,13:55:38,"C227220027      ","N227216007      ",1,1,1,2,4,7,9,10,8,10,12,11,12,14,11,13,13,14,12,13,14,13,11,12,11,13,10,10,9,9,11,11,9,7,7,2,4,6,-2,-2,0,14,1,31,30,33,35,37,37,37,37,39,40,39,37,41,38,38,39,39,38,40,39,38,38,37,39,38,36,36,36,35,35,35,32,31,31,27,25,25,23,21,18,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022/07/24,13:55:44,"C227220027      ","N227216007      ",1,1,2,5,5,8,10,11,8,10,12,11,14,14,14,14,14,14,13,13,14,14,11,10,10,13,9,10,6,9,8,9,8,5,4,1,2,4,-3,-5,-1,9,-1,27,27,27,30,31,34,31,32,37,33,33,30,34,30,31,30,30,31,34,32,28,28,28,28,29,27,31,29,29,29,30,29,25,26,24,23,23,21,18,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022/07/24,13:55:46,"C227220027      ","N227216007      ",1,1,9,10,10,12,14,15,13,15,17,15,18,17,15,15,17,16,15,15,15,13,12,15,13,14,12,11,11,10,11,12,10,8,7,4,6,7,2,0,2,19,4,27,29,29,30,32,33,31,34,36,36,34,34,35,34,36,35,34,33,35,36,34,33,31,32,32,32,33,28,29,29,30,26,26,26,24,23,21,19,15,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022/07/24,13:55:51,"C227220027      ","N227216007      ",1,1,9,10,11,13,14,15,13,13,15,13,15,15,13,12,14,12,12,11,12,9,8,10,8,11,9,8,5,6,7,8,6,6,2,1,1,3,-4,-5,-1,22,0,25,25,27,27,28,28,27,29,28,27,27,26,26,23,22,23,24,24,23,23,21,21,21,19,21,19,21,18,20,20,21,18,18,18,19,18,18,15,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022/07/24,13:55:53,"C227220027      ","N227216007      ",1,1,7,8,9,15,16,17,14,15,20,19,21,20,22,22,22,22,21,21,21,21,18,19,20,19,19,18,15,17,18,17,16,15,13,9,10,12,4,2,4,18,5,21,23,23,25,26,26,27,26,29,29,29,27,30,29,28,28,28,28,30,29,28,28,28,28,28,27,27,25,26,27,26,23,24,22,20,18,18,16,13,12,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/07/24,13:55:55,"C227220027      ","N227216007      ",1,1,11,12,13,15,15,18,16,17,17,17,19,19,17,16,16,16,14,14,15,14,12,13,13,15,11,11,7,10,10,10,9,7,6,4,3,6,0,-2,0,22,4,19,20,22,22,24,25,24,25,27,27,26,25,26,23,24,23,25,24,25,23,22,21,21,22,22,22,21,19,20,20,21,19,21,20,18,16,16,16,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
