캐비티 결과,DM60346
239,P
232,I
231,P
239,P
245,L
236,M
242,P
243,O
239,P
233,I
239,P
239,P
246,L
235,M
231,P
243,O
239,P
232,I
240,P
240,Q
245,L
235,M
235,P
244,O
239,P
232,I
239,P
241,P
231,L
236,M
239,N
237,O
240,P
231,I
236,J
241,P
245,L
235,M
230,N
243,O
240,P
232,I
226,P
242,P
239,L
231,M
245,P
245,O
239,P
234,I
236,P
242,P
244,L
230,M
231,P
242,O
238,P
232,I
225,P
241,P
245,L
236,M
230,P
243,O
239,P
232,I
225,I
238,P
240,L
232,M
231,N
243,O
239,P
233,I
225,P
242,P
240,L
231,M
230,P
244,O
240,P
234,I
237,P
242,P
240,L
231,M
240,N
243,O
240,P
233,I
226,P
243,P
246,L
237,M
239,P
243,O
239,P
233,I
236,P
241,P
241,L
231,M
245,N
244,O
238,P
234,I
232,N
243,P
246,L
230,M
231,N
242,O
240,P
233,I
242,P
243,P
241,L
236,M
246,N
238,O
240,P
233,I
228,P
242,E
240,L
229,M
231,P
243,O
238,P
232,I
226,P
241,P
240,L
233,M
232,P
242,O
226,P
233,I
230,P
242,P
245,L
230,M
239,P
243,O
238,P
233,I
236,P
237,P
237,L
232,M
239,N
243,O
240,P
233,I
226,P
240,Q
229,L
229,M
232,Q
244,O
241,P
231,I
227,P
239,Q
242,L
230,M
232,P
243,O
240,P
233,I
242,P
239,P
240,L
232,M
244,P
242,O
238,P
232,I
236,N
237,P
240,L
229,M
231,P
239,O
240,P
232,I
240,P
237,P
231,L
230,M
233,N
243,O
240,P
232,I
227,P
240,P
229,L
227,M
244,P
244,O
240,P
233,I
242,P
239,P
236,L
233,M
233,P
242,O
240,P
233,I
241,P
242,P
240,L
230,M
230,P
244,O
239,P
233,I
226,P
239,P
240,L
229,M
245,P
243,O
240,P
233,I
231,I
242,E
245,L
231,M
233,P
244,O
241,P
232,I
240,P
237,P
241,L
231,M
246,P
244,O
240,P
233,I
237,P
243,E
236,L
229,M
233,P
237,O
240,P
232,I
227,P
237,P
241,L
229,M
239,N
243,O
240,P
234,I
241,P
243,P
241,L
231,M
245,P
243,O
240,P
232,I
227,P
241,E
236,L
230,M
233,P
245,O
240,P
233,I
242,P
241,P
229,L
230,M
239,P
238,O
241,P
233,I
227,P
242,P
235,L
231,M
234,P
238,O
241,P
233,I
232,P
241,P
241,L
231,M
233,N
238,O
241,P
233,I
231,P
243,P
231,L
229,M
230,M
239,O
240,P
233,I
232,J
242,P
240,L
230,M
231,N
243,O
241,P
234,I
228,P
238,P
231,L
233,M
235,N
244,O
241,P
232,I
243,P
241,E
240,L
230,M
238,N
238,O
239,P
230,I
237,P
237,Q
231,L
230,M
244,P
237,O
240,P
232,I
227,P
233,P
245,L
230,M
245,N
243,O
239,P
232,I
237,T
243,P
246,L
230,M
233,P
243,O
240,P
232,I
228,I
242,E
241,L
229,M
230,P
238,O
240,P
229,I
227,I
242,P
231,L
230,M
234,P
238,O
241,P
232,I
228,T
236,P
231,L
230,M
231,N
238,O
240,P
231,I
226,P
237,P
231,L
230,M
234,N
244,O
240,P
232,I
227,P
237,P
232,L
232,M
232,P
242,O
240,P
230,I
229,P
243,P
235,L
231,M
233,P
243,O
241,P
232,I
227,P
237,P
231,L
229,M
243,P
244,O
240,P
233,I
241,P
236,P
230,L
232,M
233,P
238,O
240,P
230,I
228,P
242,P
231,L
231,M
231,P
243,O
239,P
232,I
228,P
237,P
230,L
230,M
231,P
244,O
240,P
232,I
227,P
239,P
240,L
230,M
235,N
244,O
241,P
230,I
226,P
226,P
232,L
230,M
233,N
243,O
241,P
232,I
226,P
241,P
230,L
230,M
233,P
237,O
240,P
233,I
236,J
242,P
241,L
235,M
239,P
238,O
241,P
233,I
226,Q
242,P
239,L
230,M
232,N
237,O
240,P
233,I
227,I
239,P
231,L
230,M
236,N
239,O
240,P
231,I
241,J
225,P
230,L
230,M
231,P
244,O
239,P
232,I
241,P
237,P
239,L
229,M
233,P
244,O
238,P
233,I
232,P
237,P
233,L
230,M
240,P
239,O
239,P
232,I
241,P
242,P
231,L
230,M
233,N
244,O
241,P
232,I
226,P
237,P
231,L
230,M
239,N
233,O
241,P
233,I
241,Q
241,P
240,L
231,M
235,P
244,O
241,P
234,I
226,P
236,P
240,L
231,M
233,N
243,O
240,P
232,I
227,P
236,E
240,L
231,M
239,N
238,O
241,P
230,I
241,P
243,P
240,L
230,M
244,Q
244,O
241,P
234,I
226,J
242,P
246,L
232,M
232,P
244,O
238,P
232,I
227,P
242,P
233,L
230,M
238,N
239,O
241,P
232,I
232,P
237,P
236,L
231,M
232,P
245,O
241,P
233,I
229,P
237,P
233,L
233,M
243,N
228,O
240,P
233,I
227,P
236,P
236,L
231,M
234,P
244,O
240,P
232,I
227,Q
241,P
231,L
230,M
231,N
244,O
240,P
233,I
227,P
241,P
230,L
230,M
234,N
244,O
239,P
233,I
231,J
237,P
241,L
231,M
231,N
238,O
241,P
232,I
228,P
241,P
236,L
232,M
231,P
245,O
