datatime,powerusage
2022-7-22 13:45:14,8
2022-7-22 13:45:14,14
2022-7-22 13:45:15,14
2022-7-22 13:45:15,10
2022-7-22 13:45:15,7
2022-7-22 13:45:16,12
2022-7-22 13:45:16,10
2022-7-22 13:45:17,12
2022-7-22 13:45:17,8
2022-7-22 13:45:17,12
2022-7-22 13:45:18,11
2022-7-22 13:45:18,9
2022-7-22 13:45:18,10
2022-7-22 13:45:19,12
2022-7-22 13:45:19,11
2022-7-22 13:45:19,11
2022-7-22 13:45:20,15
2022-7-22 13:45:20,14
2022-7-22 13:45:20,12
2022-7-22 13:45:21,7
2022-7-22 13:45:21,11
2022-7-22 13:45:21,15
2022-7-22 13:45:22,7
2022-7-22 13:45:22,15
2022-7-22 13:45:22,12
2022-7-22 13:45:23,13
2022-7-22 13:45:23,11
2022-7-22 13:45:23,12
2022-7-22 13:45:24,11
2022-7-22 13:45:24,8
2022-7-22 13:45:25,13
2022-7-22 13:45:25,13
2022-7-22 13:45:25,10
2022-7-22 13:45:26,17
2022-7-22 13:45:26,11
2022-7-22 13:45:26,13
2022-7-22 13:45:27,15
2022-7-22 13:45:27,14
2022-7-22 13:45:27,14
2022-7-22 13:45:28,19
2022-7-22 13:45:28,13
2022-7-22 13:45:29,12
2022-7-22 13:45:29,17
2022-7-22 13:45:29,12
2022-7-22 13:45:30,11
2022-7-22 13:45:30,16
2022-7-22 13:45:30,17
2022-7-22 13:45:31,12
2022-7-22 13:45:31,17
2022-7-22 13:45:31,16
2022-7-22 13:45:32,12
2022-7-22 13:45:32,14
2022-7-22 13:45:32,19
2022-7-22 13:45:33,17
2022-7-22 13:45:33,10
2022-7-22 13:45:34,16
2022-7-22 13:45:34,15
2022-7-22 13:45:34,12
2022-7-22 13:45:35,11
2022-7-22 13:45:35,13
2022-7-22 13:45:35,14
2022-7-22 13:45:36,10
2022-7-22 13:45:36,10
2022-7-22 13:45:36,13
2022-7-22 13:45:37,13
2022-7-22 13:45:37,14
2022-7-22 13:45:37,16
2022-7-22 13:45:38,16
2022-7-22 13:45:38,10
2022-7-22 13:45:38,16
2022-7-22 13:45:39,16
2022-7-22 13:45:39,21
2022-7-22 13:45:39,13
2022-7-22 13:45:40,17
2022-7-22 13:45:40,18
2022-7-22 13:45:40,16
2022-7-22 13:45:41,10
2022-7-22 13:45:41,12
2022-7-22 13:45:41,13
2022-7-22 13:45:42,12
2022-7-22 13:45:42,16
2022-7-22 13:45:42,17
2022-7-22 13:45:43,17
2022-7-22 13:45:43,13
2022-7-22 13:45:43,9
2022-7-22 13:45:44,13
2022-7-22 13:45:44,10
2022-7-22 13:45:44,12
2022-7-22 13:45:45,11
2022-7-22 13:45:45,16
2022-7-22 13:45:45,17
2022-7-22 13:45:46,17
2022-7-22 13:45:46,11
2022-7-22 13:45:46,10
2022-7-22 13:45:47,17
2022-7-22 13:45:47,15
2022-7-22 13:45:47,11
2022-7-22 13:45:48,16
2022-7-22 13:45:48,16
2022-7-22 13:45:48,17
2022-7-22 13:45:49,9
2022-7-22 13:45:49,14
2022-7-22 13:45:49,14
2022-7-22 13:45:50,13
2022-7-22 13:45:50,12
2022-7-22 13:45:50,13
2022-7-22 13:45:51,15
2022-7-22 13:45:51,11
2022-7-22 13:45:51,9
2022-7-22 13:45:52,14
2022-7-22 13:45:52,15
2022-7-22 13:45:52,11
2022-7-22 13:45:53,16
2022-7-22 13:45:53,15
2022-7-22 13:45:53,21
2022-7-22 13:45:54,12
2022-7-22 13:45:54,11
2022-7-22 13:45:55,17
2022-7-22 13:45:55,14
2022-7-22 13:45:55,20
2022-7-22 13:45:55,14
2022-7-22 13:45:56,13
2022-7-22 13:45:56,16
2022-7-22 13:45:56,13
2022-7-22 13:45:57,13
2022-7-22 13:45:57,7
2022-7-22 13:45:57,14
2022-7-22 13:45:58,11
2022-7-22 13:45:58,13
2022-7-22 13:45:59,19
2022-7-22 13:45:59,14
2022-7-22 13:45:59,11
2022-7-22 13:46:0,12
2022-7-22 13:46:0,14
2022-7-22 13:46:0,11
2022-7-22 13:46:1,13
2022-7-22 13:46:1,17
2022-7-22 13:46:1,11
2022-7-22 13:46:2,8
2022-7-22 13:46:2,10
2022-7-22 13:46:3,16
2022-7-22 13:46:3,8
2022-7-22 13:46:3,11
2022-7-22 13:46:4,14
2022-7-22 13:46:4,12
2022-7-22 13:46:4,7
2022-7-22 13:46:5,12
2022-7-22 13:46:5,12
2022-7-22 13:46:5,15
2022-7-22 13:46:6,13
2022-7-22 13:46:6,12
2022-7-22 13:46:6,18
2022-7-22 13:46:7,9
2022-7-22 13:46:7,8
2022-7-22 13:46:7,10
2022-7-22 13:46:8,15
2022-7-22 13:46:8,12
2022-7-22 13:46:8,6
2022-7-22 13:46:9,13
2022-7-22 13:46:9,14
2022-7-22 13:46:9,14
2022-7-22 13:46:10,9
2022-7-22 13:46:10,11
2022-7-22 13:46:10,16
2022-7-22 13:46:11,14
2022-7-22 13:46:11,14
2022-7-22 13:46:11,11
2022-7-22 13:46:12,13
2022-7-22 13:46:12,12
2022-7-22 13:46:12,9
2022-7-22 13:46:13,13
2022-7-22 13:46:13,15
2022-7-22 13:46:13,11
2022-7-22 13:46:14,12
2022-7-22 13:46:14,17
2022-7-22 13:46:14,11
2022-7-22 13:46:15,8
2022-7-22 13:46:15,9
2022-7-22 13:46:15,10
2022-7-22 13:46:16,12
2022-7-22 13:46:16,13
2022-7-22 13:46:16,16
2022-7-22 13:46:17,16
2022-7-22 13:46:17,10
2022-7-22 13:46:17,7
2022-7-22 13:46:18,9
2022-7-22 13:46:18,11
2022-7-22 13:46:18,12
2022-7-22 13:46:19,11
2022-7-22 13:46:19,10
2022-7-22 13:46:19,17
2022-7-22 13:46:20,12
2022-7-22 13:46:20,9
2022-7-22 13:46:20,11
2022-7-22 13:46:21,13
2022-7-22 13:46:21,12
2022-7-22 13:46:21,15
2022-7-22 13:46:22,14
2022-7-22 13:46:22,16
2022-7-22 13:46:22,11
2022-7-22 13:46:23,10
2022-7-22 13:46:23,12
2022-7-22 13:46:23,13
2022-7-22 13:46:24,11
2022-7-22 13:46:24,7
2022-7-22 13:46:24,14
2022-7-22 13:46:25,13
2022-7-22 13:46:25,14
2022-7-22 13:46:25,8
2022-7-22 13:46:26,11
2022-7-22 13:46:26,13
2022-7-22 13:46:26,14
2022-7-22 13:46:27,10
2022-7-22 13:46:27,15
2022-7-22 13:46:27,10
2022-7-22 13:46:28,12
2022-7-22 13:46:28,8
2022-7-22 13:46:28,11
2022-7-22 13:46:29,14
2022-7-22 13:46:29,11
2022-7-22 13:46:29,11
2022-7-22 13:46:30,11
2022-7-22 13:46:30,15
2022-7-22 13:46:30,12
2022-7-22 13:46:31,8
2022-7-22 13:46:31,8
2022-7-22 13:46:32,16
2022-7-22 13:46:32,10
2022-7-22 13:46:32,11
2022-7-22 13:46:33,12
2022-7-22 13:46:33,10
2022-7-22 13:46:33,10
2022-7-22 13:46:34,7
2022-7-22 13:46:34,9
2022-7-22 13:46:34,13
2022-7-22 13:46:35,14
2022-7-22 13:46:35,11
2022-7-22 13:46:35,14
2022-7-22 13:46:36,12
2022-7-22 13:46:36,11
2022-7-22 13:46:36,5
2022-7-22 13:46:37,13
2022-7-22 13:46:37,12
2022-7-22 13:46:37,12
2022-7-22 13:46:38,18
2022-7-22 13:46:38,17
2022-7-22 13:46:38,14
2022-7-22 13:46:39,10
2022-7-22 13:46:39,9
2022-7-22 13:46:39,10
2022-7-22 13:46:40,10
2022-7-22 13:46:40,6
2022-7-22 13:46:40,11
2022-7-22 13:46:41,9
2022-7-22 13:46:41,12
2022-7-22 13:46:41,12
2022-7-22 13:46:42,4
2022-7-22 13:46:42,10
2022-7-22 13:46:42,15
2022-7-22 13:46:43,11
2022-7-22 13:46:43,11
2022-7-22 13:46:43,11
2022-7-22 13:46:44,5
2022-7-22 13:46:44,12
2022-7-22 13:46:44,12
2022-7-22 13:46:45,7
2022-7-22 13:46:45,7
2022-7-22 13:46:46,13
2022-7-22 13:46:46,14
2022-7-22 13:46:46,3
2022-7-22 13:46:47,16
2022-7-22 13:46:47,6
2022-7-22 13:46:47,12
2022-7-22 13:46:48,13
2022-7-22 13:46:48,12
2022-7-22 13:46:48,12
2022-7-22 13:46:49,15
2022-7-22 13:46:49,10
2022-7-22 13:46:49,3
2022-7-22 13:46:50,10
2022-7-22 13:46:50,15
2022-7-22 13:46:50,9
2022-7-22 13:46:51,9
2022-7-22 13:46:51,9
2022-7-22 13:46:51,11
2022-7-22 13:46:52,11
2022-7-22 13:46:52,5
2022-7-22 13:46:52,5
2022-7-22 13:46:53,12
2022-7-22 13:46:53,11
2022-7-22 13:46:53,8
2022-7-22 13:46:54,10
2022-7-22 13:46:54,15
2022-7-22 13:46:54,9
2022-7-22 13:46:55,4
2022-7-22 13:46:55,9
2022-7-22 13:46:55,12
2022-7-22 13:46:56,14
2022-7-22 13:46:56,8
2022-7-22 13:46:56,12
2022-7-22 13:46:57,13
2022-7-22 13:46:57,11
2022-7-22 13:46:57,11
2022-7-22 13:46:58,12
2022-7-22 13:46:58,11
2022-7-22 13:46:58,9
2022-7-22 13:46:59,14
2022-7-22 13:46:59,13
2022-7-22 13:46:59,10
2022-7-22 13:47:0,7
2022-7-22 13:47:0,7
2022-7-22 13:47:0,14
2022-7-22 13:47:1,12
2022-7-22 13:47:1,10
2022-7-22 13:47:1,10
2022-7-22 13:47:2,12
2022-7-22 13:47:2,10
2022-7-22 13:47:2,8
2022-7-22 13:47:3,11
2022-7-22 13:47:3,13
2022-7-22 13:47:3,13
2022-7-22 13:47:4,10
2022-7-22 13:47:4,13
2022-7-22 13:47:4,14
2022-7-22 13:47:5,8
2022-7-22 13:47:5,6
2022-7-22 13:47:5,10
2022-7-22 13:47:6,16
2022-7-22 13:47:6,13
2022-7-22 13:47:6,11
2022-7-22 13:47:7,16
2022-7-22 13:47:7,18
2022-7-22 13:47:7,11
2022-7-22 13:47:8,11
2022-7-22 13:47:8,14
2022-7-22 13:47:8,11
2022-7-22 13:47:9,14
2022-7-22 13:47:9,11
2022-7-22 13:47:9,17
2022-7-22 13:47:10,12
2022-7-22 13:47:10,13
2022-7-22 13:47:10,12
2022-7-22 13:47:11,13
2022-7-22 13:47:11,14
2022-7-22 13:47:11,14
2022-7-22 13:47:12,13
2022-7-22 13:47:12,13
2022-7-22 13:47:12,17
2022-7-22 13:47:13,12
2022-7-22 13:47:13,10
2022-7-22 13:47:14,15
2022-7-22 13:47:14,15
2022-7-22 13:47:14,17
2022-7-22 13:47:14,12
2022-7-22 13:47:15,17
2022-7-22 13:47:15,13
2022-7-22 13:47:15,12
2022-7-22 13:47:16,10
2022-7-22 13:47:16,14
2022-7-22 13:47:17,18
2022-7-22 13:47:17,13
2022-7-22 13:47:17,12
2022-7-22 13:47:18,19
2022-7-22 13:47:18,18
2022-7-22 13:47:18,13
2022-7-22 13:47:19,10
2022-7-22 13:47:19,9
2022-7-22 13:47:19,14
2022-7-22 13:47:20,13
